structure,folder,diffs_gnorm_0,diffs_gnorm_1,diffs_gnorm_2,forces_gnorm
structure137,random,6.938855322886235e-05,6.941607857377304e-05,0.04808514343298657,3.1629538764939737
structure138,random,6.13704145071434,0.048427515475840455,18.04301835163915,77.09547378129295
structure139,random,5.629334419932446,0.0873041729709252,0.721947792502207,78.576116960084
structure13,random,1.366980361280366,0.027405727897955687,13.327818495692666,75.00786848860653
structure140,random,13.630432124667584,1.698279205785041,36.190559368457784,99.4689522836455
structure141,random,13.33236690068332,12.974400457249319,12.774284644094607,94.145480849476
structure142,random,26.666952743005684,17.8769449703666,0.06194691639032327,102.66768200108783
structure143,random,9.832005470821843,36.51970870971707,31.179995220090564,87.95509707644321
structure144,random,5.356791176739401,18.144021200820166,0.14292222076652794,103.08490724006448
structure145,random,0.016273866431065095,18.39137871714446,0.007365194473135988,60.755224988781805
structure146,random,5.563309811083719,38.450907871903794,7.748370995832923,133.15907840634432
structure147,random,0.3005560226129439,12.256399172864938,12.87157769474477,60.19147431337584
structure148,random,39.851992068880094,13.240740133284154,13.360201157416007,145.76815578935086
structure149,random,18.412866345084424,18.34438679366311,13.301508887677588,120.02374131418627
structure14,random,31.47209036383088,13.341792533891612,12.031663638183803,133.4535972571152
structure150,random,0.08664560597250975,3.617333223195979,0.2188232107997862,129.00279278570844
structure151,random,20.605904915791857,26.059032185030997,31.405378712974002,118.17540551571689
structure152,random,0.049488053487409006,0.030119109067968674,18.531018666951468,131.20842234315535
structure153,random,0.07149596500970856,6.955733325054569,0.47200335522762277,53.760357758485995
structure154,random,0.2756111347403729,12.023916520390156,0.060613823153734,66.59020395236122
structure155,random,0.06565764105308614,13.316651372080136,13.337744793046685,119.06710358765103
structure156,random,16.98835744246227,2.276203808390572,0.06314648940603339,119.39408373035106
structure157,random,18.342775971151095,18.340895758429937,17.617581484854387,95.97653876246062
structure158,random,17.960611646313357,17.481763854590074,0.00016249128458881317,67.53300878520905
structure159,random,15.275376464846602,0.14516696263586135,29.719554042379627,136.39926239031033
structure15,random,18.13066938208664,2.261228908146265,0.006246863702742725,97.03218058889043
structure160,random,11.820571969430862,0.04905674533890217,13.350668999381059,70.23351525789504
structure161,random,43.10857981835126,0.33249778205925495,19.232593350709315,153.5674311314052
structure162,random,7.467831777976787,7.232077105090697,25.365650625569565,79.05796833837287
structure163,random,13.30663206552648,18.05020016346239,8.654649354032273,134.61839449253694
structure164,random,0.35636512917763796,0.09855325915675146,0.00022587525147401205,27.463922721479047
structure165,random,8.245581955824981,5.3636962517721205,13.260714009423529,149.98959330958382
structure166,random,13.270638047720364,5.816380619551285,1.2299781704413284,86.73178623798736
structure167,random,0.03212042716542125,4.778701397308597,1.3354143099818558,59.60328876726193
structure168,random,0.16132503046626967,0.01655214711207897,1.1974806163601282e-07,56.293816027929005
structure169,random,0.0145837565254068,7.257491123519416,1.4461600326767463,73.94911499886939
structure16,random,19.01412123749215,18.290778098461335,23.07424871535221,161.09181285331394
structure170,random,11.835019006962,12.836563984570324,12.831683471572058,113.47619721105356
structure171,random,0.06599375776036341,0.0020195455223091983,0.015868075423839587,69.68456610770748
structure172,random,18.43839421827972,7.446255483544792,6.448066015012647,61.39419315067854
structure173,random,4.2359788602413735,18.201946117992314,36.01132828484772,116.40286457157279
structure174,random,26.55266970123909,28.920999208840072,30.92083610750177,120.64515559038165
structure175,random,0.044299249759409305,0.07761946101570986,13.26949292222426,133.31242616329294
structure176,random,19.409432855934664,18.997718243938827,0.24941249579573133,105.34660759013823
structure177,random,0.6401042854262402,19.186285349593717,1.754780579796864,70.75183106495282
structure178,random,1.494551976412728,0.3997866041665261,13.316053718833862,73.29863899474074
structure179,random,18.85611792067197,36.00352059264301,1.613600698471764,72.06600128233481
structure17,random,13.36809152721992,2.273487185448428,12.489327588027095,106.8809117806461
structure180,random,18.821119182345765,18.735090684839022,13.187382142531128,131.00332059196404
structure181,random,1.017991811923662,18.954383277053992,0.1029438743832992,86.10929312943261
structure182,random,0.03193304746633592,5.352671108853801,0.8688299880331772,90.56991994992774
structure183,random,13.243804888859895,19.115505749572662,17.196046560429973,111.22058480899784
structure184,random,13.312787619407816,6.012857131175924,11.576768204742978,113.44737321705357
structure185,random,0.18099407684034322,0.3521171367435356,0.17920248670576552,111.13698828349507
structure186,random,13.336824851146826,0.013819832672945615,0.015804987197383238,50.13226406399084
structure187,random,36.45507957752977,2.1223137421756997,36.48265902386753,190.41562412491
structure188,random,12.847844665863299,31.48268356897289,31.486780833365753,83.24480923914103
structure189,random,17.595313547318707,13.820677725062746,0.19268707078021444,88.2454684610941
structure18,random,13.353361960454833,36.48495781964071,13.253929303968182,125.42798127890443
structure190,random,0.029980122784472686,0.032513260976883944,0.0299711734333079,102.78532450384142
structure191,random,0.01203833743562061,0.4741293540497599,18.15351065239525,71.94269244226132
structure192,random,0.1615824393203707,0.0827402479638607,0.15071277013854245,32.37683984210739
