structure,method,energy,gnorm,opt_time,peak_mem,cpu_time,opt_succ,cycles,hessian,failure,options,switch
rat_structure219,switch,-475.75063914,1.718E-05,0.0458,0.6,0.0458,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure220,switch,-475.75063914,1.712E-05,0.0448,0.6,0.0449,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure221,switch,-475.75063914,1.698E-05,0.042,0.6,0.042,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure222,switch,-475.75063914,3.1E-07,0.0432,0.6,0.0432,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure223,switch,-475.75063914,6E-07,0.0571,0.6,0.0571,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure224,switch,-475.75063914,1.11E-06,0.0471,0.6,0.0472,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure225,switch,-475.75063914,2.3E-06,0.0589,0.6,0.0589,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure226,switch,-475.75063914,1.36E-05,0.0426,0.6,0.0426,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure227,switch,-475.75063914,2.3E-07,0.0497,0.6,0.0497,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure228,switch,-475.75063914,2.9E-07,0.0449,0.6,0.0449,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure229,switch,-475.75063914,8.8E-07,0.0481,0.6,0.0481,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure230,switch,-475.75063914,1.14E-06,0.0471,0.6,0.0471,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure231,switch,-475.75063914,6.4E-07,0.0489,0.6,0.049,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure232,switch,-475.75063914,2.044E-05,0.0456,0.6,0.0456,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure233,switch,-475.75063914,2.8E-07,0.0515,0.6,0.0516,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure234,switch,-475.75063914,1.89E-06,0.0448,0.6,0.0448,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure235,switch,-475.75063914,1.06E-06,0.0464,0.6,0.0464,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure236,switch,-475.75063914,2.2E-07,0.0493,0.6,0.0493,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure237,switch,-475.75063913,2.534E-05,0.0432,0.6,0.0433,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure238,switch,-475.75063914,7.3E-07,0.0492,0.6,0.0492,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure239,switch,-475.75063914,1.676E-05,0.0461,0.6,0.0461,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure240,switch,-475.75063914,1.225E-05,0.0437,0.6,0.0437,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure241,switch,-475.75063914,6.85E-06,0.0476,0.6,0.0476,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure242,switch,-475.75063914,1.65E-06,0.0435,0.6,0.0435,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure243,switch,-475.75063914,5.24E-06,0.0454,0.6,0.0454,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure244,switch,-475.75063914,1.37E-06,0.0429,0.6,0.043,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure245,switch,-475.75063914,1.75E-05,0.0705,0.6,0.0705,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure246,switch,-475.75063914,1.224E-05,0.0424,0.6,0.0425,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure247,switch,-475.75063914,2.72E-06,0.043,0.6,0.0431,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure248,switch,-475.75063914,2.8E-07,0.0519,0.6,0.0519,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure249,switch,-475.75063914,3.84E-06,0.0447,0.6,0.0447,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure250,switch,-475.75063914,3.2E-07,0.0465,0.6,0.0465,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure251,switch,-475.75063914,3.1E-07,0.0477,0.6,0.0477,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure252,switch,-475.75063914,1.39E-06,0.0468,0.6,0.0469,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure253,switch,-475.75063914,2.07E-06,0.0445,0.6,0.0445,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure254,switch,-475.75063914,4.5E-06,0.0445,0.6,0.0445,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure255,switch,-475.75063913,2.35E-05,0.043,0.6,0.043,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure256,switch,-475.75063914,3.28E-06,0.0372,0.6,0.0372,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure257,switch,-475.75063914,2.28E-06,0.0448,0.6,0.0449,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure258,switch,-475.75063914,9.13E-06,0.0451,0.6,0.0451,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure259,switch,-475.75063914,1.81E-06,0.0519,0.6,0.0519,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure260,switch,-475.75063914,1.75E-06,0.044,0.6,0.044,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure261,switch,-475.75063914,4.71E-06,0.0388,0.6,0.0388,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure262,switch,-475.75063914,1.56E-06,0.0457,0.6,0.0457,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure263,switch,-475.75063914,7.49E-06,0.0505,0.6,0.0506,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure264,switch,-475.75063913,2.991E-05,0.0499,0.6,0.0499,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure265,switch,-475.75063914,2.76E-06,0.0454,0.6,0.0454,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure266,switch,-475.75063914,9.88E-06,0.0453,0.6,0.0453,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure267,switch,-475.75063914,2.46E-06,0.0415,0.6,0.0415,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure268,switch,-475.75063914,4.2E-07,0.0431,0.6,0.0431,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure269,switch,-475.75063914,1.181E-05,0.0461,0.6,0.0461,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure270,switch,-475.75063914,1.27E-06,0.0468,0.6,0.0468,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure271,switch,-475.75063914,2.173E-05,0.038,0.6,0.0381,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure272,switch,-475.75063914,3.46E-06,0.047,0.6,0.0471,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure273,switch,-475.75063914,1.41E-06,0.0438,0.6,0.0438,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure274,switch,-475.75063914,8.19E-06,0.0477,0.6,0.0478,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure275,switch,-475.75063914,1.705E-05,0.0465,0.6,0.0466,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure276,switch,-475.75063914,1.174E-05,0.0326,0.6,0.0326,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure277,switch,-475.75063914,5.52E-06,0.047,0.6,0.047,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure278,switch,-475.75063914,7.3E-06,0.0455,0.6,0.0456,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure279,switch,-475.75063914,1.006E-05,0.0439,0.6,0.0439,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure280,switch,-475.75063914,5.79E-06,0.0438,0.6,0.0438,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure281,switch,-475.75063914,4.2E-07,0.0509,0.6,0.0509,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure282,switch,-475.75063914,2.76E-06,0.0462,0.6,0.0462,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure283,switch,-475.75063914,6.1E-07,0.0466,0.6,0.0466,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure284,switch,-475.75063914,5.2E-07,0.0519,0.6,0.0519,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure285,switch,-475.75063914,1.69E-06,0.0459,0.6,0.0459,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure286,switch,-475.75063914,7.4E-07,0.049,0.6,0.049,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure287,switch,-475.75063914,3.9E-07,0.0538,0.6,0.0538,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure288,switch,-475.75063914,2.8E-07,0.0475,0.6,0.0476,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure289,switch,-475.75063914,6.9E-07,0.0482,0.6,0.0483,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure290,switch,-475.75063914,8.1E-07,0.0505,0.6,0.0505,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure291,switch,-475.75063914,1.62E-06,0.0508,0.6,0.0508,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure292,switch,-475.75063914,2.86E-06,0.049,0.6,0.049,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure293,switch,-475.75063914,1.17E-06,0.0477,0.6,0.0477,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure294,switch,-475.75063914,1.234E-05,0.043,0.6,0.043,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure295,switch,-475.75063914,2.5E-07,0.0506,0.6,0.0506,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure296,switch,-475.75063914,7.8E-07,0.0473,0.6,0.0473,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure297,switch,-475.75063914,2.71E-06,0.0464,0.6,0.0464,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure298,switch,-475.75063914,1.09E-06,0.0491,0.6,0.0491,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure299,switch,-475.75063914,2.28E-06,0.0455,0.6,0.0455,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure300,switch,-475.75063914,6.47E-06,0.0445,0.6,0.0445,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure301,switch,-475.75063914,5.3E-07,0.0448,0.6,0.0448,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure302,switch,-475.75063914,1.12E-06,0.0461,0.6,0.0462,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure303,switch,-475.75063914,2E-07,0.0499,0.6,0.0499,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure304,switch,-475.75063914,7.2E-07,0.048,0.6,0.048,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure305,switch,-475.75063914,1.15E-06,0.0479,0.6,0.0479,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure306,switch,-475.75063914,4.8E-07,0.0526,0.6,0.0526,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure307,switch,-475.75063914,1.993E-05,0.0476,0.6,0.0476,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure308,switch,-475.75063914,2.3E-07,0.0499,0.6,0.0499,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure309,switch,-475.75063914,8.9E-07,0.0465,0.6,0.0465,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure310,switch,-475.75063913,3.422E-05,0.0478,0.6,0.0478,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure311,switch,-475.75063914,7.7E-07,0.0531,0.6,0.0531,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure312,switch,-475.75063914,1.676E-05,0.0467,0.6,0.0467,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure313,switch,-475.75063914,4.3E-07,0.0536,0.6,0.0537,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure314,switch,-475.75063914,5.7E-07,0.0569,0.6,0.0569,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure315,switch,-475.75063914,1.16E-06,0.052,0.6,0.052,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure316,switch,-475.75063914,9.7E-07,0.0504,0.6,0.0504,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure317,switch,-475.75063914,9E-07,0.0526,0.6,0.0526,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure318,switch,-475.75063913,3.259E-05,0.0448,0.6,0.0448,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure319,switch,-475.75063914,6.1E-07,0.0511,0.6,0.0511,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure320,switch,-475.75063914,8.09E-06,0.0451,0.6,0.0451,True,3,1,,"switch_minimiser bfgs gnorm 0.1
",1
rat_structure321,switch,-475.75063913,5.452E-05,0.0563,0.6,0.0563,True,5,1,,"switch_minimiser bfgs gnorm 0.1
",3
rat_structure322,switch,-475.75063913,6.784E-05,0.0535,0.6,0.0535,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure323,switch,-475.75063913,1.644E-05,0.056,0.6,0.056,True,5,1,,"switch_minimiser bfgs gnorm 0.1
",3
rat_structure324,switch,-475.75063913,1.884E-05,0.0532,0.6,0.0532,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure325,switch,-475.75063913,3.732E-05,0.0519,0.6,0.0519,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure326,switch,-475.75063913,1.507E-05,0.0495,0.6,0.0495,True,6,1,,"switch_minimiser bfgs gnorm 0.1
",4
rat_structure327,switch,-475.75063913,1.123E-05,0.0604,0.6,0.0604,True,6,1,,"switch_minimiser bfgs gnorm 0.1
",4
rat_structure328,switch,-475.75063912,8.004E-05,0.0527,0.6,0.0528,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure329,switch,-475.75063913,4.644E-05,0.0509,0.6,0.0509,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure330,switch,-475.75063913,5.859E-05,0.0535,0.6,0.0536,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure331,switch,-475.75063913,1.586E-05,0.0635,0.6,0.0635,True,6,1,,"switch_minimiser bfgs gnorm 0.1
",4
rat_structure332,switch,-475.75063913,1.348E-05,0.0608,0.6,0.0608,True,6,1,,"switch_minimiser bfgs gnorm 0.1
",4
rat_structure333,switch,-475.75063913,1.645E-05,0.0562,0.6,0.0562,True,5,1,,"switch_minimiser bfgs gnorm 0.1
",3
rat_structure334,switch,-475.75063913,1.922E-05,0.0602,0.6,0.0602,True,6,1,,"switch_minimiser bfgs gnorm 0.1
",4
rat_structure335,switch,-475.75063913,2.704E-05,0.0573,0.6,0.0573,True,5,1,,"switch_minimiser bfgs gnorm 0.1
",3
rat_structure336,switch,-475.75063913,2.338E-05,0.0623,0.6,0.0623,True,6,1,,"switch_minimiser bfgs gnorm 0.1
",4
rat_structure337,switch,-475.75063913,5.845E-05,0.0558,0.6,0.0559,True,5,1,,"switch_minimiser bfgs gnorm 0.1
",3
rat_structure338,switch,-475.75063913,2.481E-05,0.0519,0.6,0.0519,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure339,switch,-475.75063913,4.344E-05,0.0526,0.6,0.0526,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure340,switch,-475.75063913,3.867E-05,0.0485,0.6,0.0485,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure341,switch,-475.75063913,3.327E-05,0.0608,0.6,0.0609,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure342,switch,-475.75063913,1.723E-05,0.0599,0.6,0.0599,True,6,1,,"switch_minimiser bfgs gnorm 0.1
",4
rat_structure343,switch,-475.75063913,2.232E-05,0.0843,0.6,0.0843,True,5,1,,"switch_minimiser bfgs gnorm 0.1
",3
rat_structure344,switch,-475.75063913,2.328E-05,0.0535,0.6,0.0535,True,5,1,,"switch_minimiser bfgs gnorm 0.1
",3
rat_structure345,switch,-475.75063913,1.678E-05,0.0521,0.6,0.0521,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure346,switch,-475.75063913,1.938E-05,0.0536,0.6,0.0536,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure347,switch,-475.75063913,3.964E-05,0.0521,0.6,0.0521,True,5,1,,"switch_minimiser bfgs gnorm 0.1
",3
rat_structure348,switch,-475.75063913,2.747E-05,0.0601,0.6,0.0601,True,6,1,,"switch_minimiser bfgs gnorm 0.1
",4
rat_structure349,switch,-475.75063913,3.813E-05,0.0562,0.6,0.0562,True,5,1,,"switch_minimiser bfgs gnorm 0.1
",3
rat_structure350,switch,-475.75063913,2.949E-05,0.0524,0.6,0.0524,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure351,switch,-475.75063913,2.055E-05,0.0544,0.6,0.0544,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure352,switch,-475.75063913,3.434E-05,0.0489,0.6,0.0489,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure353,switch,-475.75063913,4.256E-05,0.0509,0.6,0.0509,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure354,switch,-475.75063913,9.27E-06,0.0554,0.6,0.0554,True,5,1,,"switch_minimiser bfgs gnorm 0.1
",3
rat_structure355,switch,-475.75063913,5.886E-05,0.0585,0.6,0.0585,True,5,1,,"switch_minimiser bfgs gnorm 0.1
",3
rat_structure356,switch,-475.75063913,4.062E-05,0.0475,0.6,0.0476,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure357,switch,-475.75063913,3.254E-05,0.054,0.6,0.054,True,5,1,,"switch_minimiser bfgs gnorm 0.1
",3
rat_structure358,switch,-475.75063913,4.303E-05,0.0518,0.6,0.0518,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure359,switch,-475.75063913,1.123E-05,0.0559,0.6,0.0559,True,5,1,,"switch_minimiser bfgs gnorm 0.1
",3
rat_structure360,switch,-475.75063913,2.142E-05,0.048,0.6,0.048,True,4,1,,"switch_minimiser bfgs gnorm 0.1
",2
rat_structure361,switch,-475.75063913,1.458E-05,0.1625,0.6,0.1625,True,24,1,,"switch_minimiser bfgs gnorm 0.1
",19
rat_structure362,switch,-475.75063914,4.04E-06,0.1307,0.6,0.1307,True,20,1,,"switch_minimiser bfgs gnorm 0.1
",17
rat_structure363,switch,-475.75063911,9.194E-05,0.1336,0.6,0.1336,True,20,1,,"switch_minimiser bfgs gnorm 0.1
",17
rat_structure364,switch,-475.75063912,9.456E-05,0.1335,0.6,0.1336,True,19,1,,"switch_minimiser bfgs gnorm 0.1
",16
rat_structure365,switch,-475.75063913,9.56E-06,0.1335,0.6,0.1335,True,20,1,,"switch_minimiser bfgs gnorm 0.1
",16
rat_structure366,switch,-475.75063914,9.25E-06,0.2158,0.6,0.2158,True,35,1,,"switch_minimiser bfgs gnorm 0.1
",30
rat_structure367,switch,-475.75063913,1.402E-05,0.149,0.6,0.149,True,23,1,,"switch_minimiser bfgs gnorm 0.1
",19
rat_structure368,switch,-475.75063912,6.138E-05,0.1347,0.6,0.1347,True,20,1,,"switch_minimiser bfgs gnorm 0.1
",17
rat_structure369,switch,-475.75063914,5.95E-06,0.1274,0.6,0.1275,True,19,1,,"switch_minimiser bfgs gnorm 0.1
",16
rat_structure370,switch,-475.75063912,0.00012344,0.1476,0.6,0.1476,True,23,1,,"switch_minimiser bfgs gnorm 0.1
",19
rat_structure371,switch,-475.75063914,4.67E-06,0.1367,0.6,0.1367,True,21,1,,"switch_minimiser bfgs gnorm 0.1
",18
rat_structure372,switch,-475.75063913,5.115E-05,0.1606,0.6,0.1606,True,24,1,,"switch_minimiser bfgs gnorm 0.1
",19
rat_structure373,switch,-475.75063913,1.104E-05,0.1242,0.6,0.1242,True,17,1,,"switch_minimiser bfgs gnorm 0.1
",14
rat_structure374,switch,-475.75063913,7.513E-05,0.1497,0.6,0.1497,True,23,1,,"switch_minimiser bfgs gnorm 0.1
",20
rat_structure375,switch,-475.75063913,3.592E-05,0.1611,0.6,0.1611,True,25,1,,"switch_minimiser bfgs gnorm 0.1
",20
rat_structure376,switch,-475.75063911,0.00011817,0.167,0.6,0.167,True,20,1,,"switch_minimiser bfgs gnorm 0.1
",16
rat_structure377,switch,-475.75063913,1.904E-05,0.1325,0.6,0.1325,True,20,1,,"switch_minimiser bfgs gnorm 0.1
",16
rat_structure378,switch,-475.75063912,0.00010045,0.1449,0.6,0.1449,True,22,1,,"switch_minimiser bfgs gnorm 0.1
",19
rat_structure379,switch,-475.75063913,5.765E-05,0.1321,0.6,0.1321,True,19,1,,"switch_minimiser bfgs gnorm 0.1
",16
rat_structure380,switch,-475.75063913,3.277E-05,0.1448,0.6,0.1448,True,22,1,,"switch_minimiser bfgs gnorm 0.1
",18
rat_structure381,switch,-475.75063908,0.00015957,0.1574,0.6,0.1575,True,24,1,,"switch_minimiser bfgs gnorm 0.1
",19
rat_structure382,switch,-475.75063913,1.099E-05,0.1297,0.6,0.1297,True,20,1,,"switch_minimiser bfgs gnorm 0.1
",16
rat_structure383,switch,-475.75063913,4.019E-05,0.1429,0.6,0.143,True,22,1,,"switch_minimiser bfgs gnorm 0.1
",19
rat_structure384,switch,-475.75063913,1.61E-05,0.158,0.6,0.158,True,24,1,,"switch_minimiser bfgs gnorm 0.1
",19
rat_structure385,switch,-475.75063913,3.322E-05,0.1423,0.6,0.1423,True,21,1,,"switch_minimiser bfgs gnorm 0.1
",18
rat_structure386,switch,-475.75063913,1.778E-05,0.1502,0.6,0.1502,True,23,1,,"switch_minimiser bfgs gnorm 0.1
",19
rat_structure387,switch,-475.75063913,1.547E-05,0.159,0.6,0.159,True,24,1,,"switch_minimiser bfgs gnorm 0.1
",19
rat_structure388,switch,-475.75063912,6.954E-05,0.1546,0.6,0.1547,True,24,1,,"switch_minimiser bfgs gnorm 0.1
",20
rat_structure389,switch,-475.75063914,6.38E-06,0.1465,0.6,0.1465,True,23,1,,"switch_minimiser bfgs gnorm 0.1
",20
rat_structure390,switch,-475.75063913,3.964E-05,0.1373,0.6,0.1373,True,20,1,,"switch_minimiser bfgs gnorm 0.1
",16
rat_structure391,switch,-475.75063913,1.42E-05,0.1501,0.6,0.1501,True,22,1,,"switch_minimiser bfgs gnorm 0.1
",18
rat_structure392,switch,-475.75063912,7.191E-05,0.1495,0.6,0.1496,True,24,1,,"switch_minimiser bfgs gnorm 0.1
",19
rat_structure393,switch,-475.75063914,4.96E-06,0.1296,0.6,0.1296,True,19,1,,"switch_minimiser bfgs gnorm 0.1
",15
rat_structure394,switch,-475.75063913,2.556E-05,0.1584,0.6,0.1584,True,24,1,,"switch_minimiser bfgs gnorm 0.1
",19
rat_structure395,switch,-475.75063913,5.974E-05,0.1403,0.6,0.1403,True,21,1,,"switch_minimiser bfgs gnorm 0.1
",19
rat_structure396,switch,-475.75063914,6.21E-06,0.1381,0.6,0.1381,True,21,1,,"switch_minimiser bfgs gnorm 0.1
",17
rat_structure397,switch,-475.75063913,2.144E-05,0.1471,0.6,0.1471,True,22,1,,"switch_minimiser bfgs gnorm 0.1
",18
rat_structure398,switch,-475.75063913,6.311E-05,0.1187,0.6,0.1187,True,20,1,,"switch_minimiser bfgs gnorm 0.1
",18
rat_structure399,switch,-475.75063911,7.328E-05,0.1609,0.6,0.1609,True,25,1,,"switch_minimiser bfgs gnorm 0.1
",20
rat_structure400,switch,-475.75063913,6.864E-05,0.1663,0.6,0.1663,True,25,1,,"switch_minimiser bfgs gnorm 0.1
",20
structure13,switch,inf,0,0.6794,0.56,0.6794,False,166,0,"  **** Too many failed attempts to optimise ****
",switch_minimiser bfgs gnorm 0.1,-1
structure159,switch,inf,0,0.2275,0.56,0.2275,False,40,0,"  **** Too many failed attempts to optimise ****
",switch_minimiser bfgs gnorm 0.1,-1
