structure,Unnamed: 0,folder,interatomic_custom,interatomic_lammps,method,folder_gulp,interatomic_gulp
structure153,0,random,23.540728148856143,23.540728148856058,conj,random,23.53880315
structure154,0,random,38.20985124363914,38.209851243639186,conj,random,38.20740124
structure155,0,random,365.7154492013645,365.715449201372,conj,random,365.7028492
structure156,0,random,92.98240142830551,92.98205143123705,conj,random,92.97785143
structure157,0,random,87.836171286137,87.83617128613726,conj,random,87.83459629
structure158,0,random,39.93473125151349,39.9347312515135,conj,random,39.93315625
structure159,0,random,219.8477104942681,219.847710494267,conj,random,219.84071049
structure15,0,random,73.12389393014155,73.12354393307328,conj,random,73.11969394
structure160,0,random,38.32345628632164,38.32345628632163,conj,random,38.32293129
structure161,0,random,244.45820144035088,244.45820144035085,conj,random,244.45155144
structure162,0,random,66.324578701815,66.32457870181521,conj,random,66.3245787
structure163,0,random,181.61281292276524,181.61281292276573,conj,random,181.60826292
structure164,0,random,7.330097522789557,7.329572527186759,conj,random,7.32607253
structure165,0,random,201.31370986463557,201.3130098705001,conj,random,201.30810986
structure166,0,random,58.40261449602316,58.40208950042039,conj,random,58.3992895
structure167,0,random,36.85804052203914,36.8580405220389,conj,random,36.85419053
structure168,0,random,32.41028389454163,32.410283894541585,conj,random,32.40870889
structure169,0,random,36.510891362612796,36.51089136261269,conj,random,36.50739137
structure16,0,random,363.5155166412677,363.51551664127237,conj,random,363.50186664
structure170,0,random,142.24568058850275,142.24533059143425,conj,random,142.2395556
structure171,0,random,38.88042340849543,38.88007341142708,conj,random,38.87954841
structure172,0,random,35.07183852449645,35.071838524496414,conj,random,35.06851352
structure173,0,random,68.13912449662088,68.13877449955235,conj,random,68.1338745
structure174,0,random,131.3615738605138,131.36157386051352,conj,random,131.35754887
structure175,0,random,108.53800232538076,108.53800232538099,conj,random,108.53450233
structure176,0,random,102.92399952834288,102.92364953127468,conj,random,102.91804955
structure177,0,random,45.82455107798207,45.82385108384509,conj,random,45.82175108
structure178,0,random,54.71874378046725,54.718393783398746,conj,random,54.71524378
structure179,0,random,42.94758564264637,42.94758564264631,conj,random,42.94461065
structure17,0,random,101.95365892967924,101.95330893261124,conj,random,101.94875893
structure180,0,random,164.33422050165572,164.33422050165575,conj,random,164.3242455
structure181,0,random,49.61014300582982,49.609968007295684,conj,random,49.60821801
