,structure,folder,interatomic_custom,interatomic_lammps,electrostatic_custom
0,structure153,random,23.540728148856143,23.54072814885606,-236.7943325742528
0,structure154,random,38.20985124363914,38.20985124363919,-216.99850349549473
0,structure155,random,365.7154492013645,365.71544920137194,-578.8625245066563
0,structure156,random,92.98240142830551,92.98205143123704,-300.0581505685316
0,structure157,random,87.836171286137,87.83617128613726,-307.21352646250267
0,structure158,random,39.93473125151349,39.9347312515135,-210.82404388883785
0,structure159,random,219.84771049426814,219.847710494267,-315.2185009789057
0,structure15,random,73.12389393014155,73.12354393307328,-311.8802166512501
0,structure160,random,38.32345628632164,38.32345628632163,-235.39708566603403
0,structure161,random,244.45820144035088,244.45820144035085,-394.03976211897555
0,structure162,random,66.32457870181501,66.32457870181521,40.55194234180336
0,structure163,random,181.61281292276524,181.61281292276573,-397.7463053331445
0,structure164,random,7.330097522789556,7.329572527186759,-83.70302649905015
0,structure165,random,201.31370986463557,201.31300987050008,-283.40318603308555
0,structure166,random,58.40261449602316,58.40208950042039,-154.68510950244772
0,structure167,random,36.85804052203914,36.8580405220389,-60.03857087947517
0,structure168,random,32.41028389454163,32.41028389454159,-239.439955602662
0,structure169,random,36.5108913626128,36.51089136261269,-208.24913568309816
0,structure16,random,363.5155166412677,363.51551664127237,-432.4279785559683
0,structure170,random,142.24568058850275,142.24533059143425,-380.40686331959864
0,structure171,random,38.880423408495425,38.88007341142708,-96.54268997238073
0,structure172,random,35.07183852449645,35.071838524496414,-31.345608272434248
0,structure173,random,68.13912449662088,68.13877449955235,-296.1310215018378
0,structure174,random,131.3615738605138,131.36157386051352,-410.1447955903884
0,structure175,random,108.53800232538076,108.53800232538099,-181.12076378422262
0,structure176,random,102.92399952834288,102.92364953127469,-296.5277331718667
0,structure177,random,45.82455107798207,45.82385108384509,-261.6916329030077
0,structure178,random,54.71874378046725,54.718393783398746,-241.8036019005081
0,structure179,random,42.947585642646374,42.94758564264631,-36.62828226537059
0,structure17,random,101.95365892967924,101.95330893261125,-355.37623726742254
0,structure180,random,164.33422050165572,164.33422050165575,-208.5777523345218
0,structure181,random,49.61014300582982,49.60996800729569,-208.2457809323555
